"UN";"Название";"№ АК";"Тип АК";"Размер группы";"Индивидуальный профиль";"Статус";"Замечания"
"1268";"Парафин нефтяной жидкий, фракция C10 - C13";"328";"групповая";"19";"нет";"READY";""
"1268";"Пиробензол";"328";"групповая";"19";"нет";"READY";""
"1268";"Пироконденсат гидростабилизированный нефтяной";"328";"групповая";"19";"нет";"READY";""
"1268";"Полимердистиллят";"328";"групповая";"19";"нет";"READY";""
"1268";"Топливо эталонное";"328";"групповая";"19";"нет";"READY";""
"1268";"Фракция бензиновая прямой гонки";"328";"групповая";"19";"нет";"READY";""
"1268";"Эфир петролейный";"328";"групповая";"19";"нет";"READY";""
"1272";"Масло пихтовое";"315";"групповая";"14";"нет";"READY";""
"1272";"Масло хвойное";"315";"групповая";"14";"нет";"READY";""
"1274";"н-ПРОПАНОЛ (СПИРТ ПРОПИЛОВЫЙ, НОРМАЛЬНЫЙ) *";"307";"групповая";"20";"нет";"READY";""
"1275";"Пропиональдегид";"307";"групповая";"20";"нет";"READY";""
"1276";"н-Пропилацетат";"306";"групповая";"53";"нет";"READY";""
"1277";"Пропиламин **";"311";"групповая";"25";"нет";"READY";""
"1278";"1-Хлорпропан";"312";"групповая";"27";"нет";"READY";""
"1279";"1,2-Дихлорпропан";"312";"групповая";"27";"нет";"READY";""
"1280";"ПРОПИЛЕНОКСИД";"302";"групповая";"2";"нет";"READY";""
"1281";"Пропилформиаты";"306";"групповая";"53";"нет";"READY";""
"1282";"Пиридин";"311";"групповая";"25";"нет";"READY";""
"1286";"МАСЛО СМОЛЯНОЕ (давление паров при 50 °C более 110 кПа)";"307";"групповая";"20";"нет";"READY";""
"1286";"МАСЛО СМОЛЯНОЕ (давление паров при 50 °C не более 110 кПа)";"307";"групповая";"20";"нет";"READY";""
"1286";"МАСЛО СМОЛЯНОЕ (имеющее температуру вспышки ниже 23 °C и вязкое) (давление паров при 50 °C более 110 кПа, температура кипения более 35 °C) *";"307";"групповая";"20";"нет";"READY";""
"1286";"МАСЛО СМОЛЯНОЕ (имеющее температуру вспышки ниже 23 °C и вязкое) (давление паров при 50 °C не более 110 кПа) *";"307";"групповая";"20";"нет";"READY";""
"1286";"МАСЛО СМОЛЯНОЕ (имеющее температуру вспышки ниже 23 °C и вязкое) (температура кипения не более 35 °C) *";"307";"групповая";"20";"нет";"READY";""
"1286";"МАСЛО СМОЛЯНОЕ (невязкое) *";"307";"групповая";"20";"нет";"READY";""
"1287";"КАУЧУКА РАСТВОР (давление паров при 50 °C более 110 кПа)";"305";"групповая";"36";"нет";"READY";""
"1287";"КАУЧУКА РАСТВОР (давление паров при 50 °C не более 110 кПа)";"305";"групповая";"36";"нет";"READY";""
"1287";"КАУЧУКА РАСТВОР (имеющий температуру вспышки ниже 23 °C и вязкий) (давление паров при 50 °C более 110 кПа, температура кипения более 35 °C)";"305";"групповая";"36";"нет";"READY";""
"1287";"КАУЧУКА РАСТВОР (имеющий температуру вспышки ниже 23 °C и вязкий) (давление паров при 50 °C не более 110 кПа)";"305";"групповая";"36";"нет";"READY";""
"1287";"КАУЧУКА РАСТВОР (имеющий температуру вспышки ниже 23 °C и вязкий) (температура кипения не более 35 °C)";"305";"групповая";"36";"нет";"READY";""
"1287";"КАУЧУКА РАСТВОР (невязкий)";"305";"групповая";"36";"нет";"READY";""
"1288";"Масло сланцевое *";"307";"групповая";"20";"нет";"READY";""
"1289";"НАТРИЯ МЕТИЛАТА РАСТВОР в спирте";"319";"групповая";"3";"нет";"READY";""
"1292";"Олигоэтоксисиланов смесь гомогенная";"315";"групповая";"14";"нет";"READY";""
"1292";"Тетраэтилсиликат";"315";"групповая";"14";"нет";"READY";""
"1293";"Капли гофманские";"328";"групповая";"19";"нет";"READY";""
"1293";"Настойки медицинские";"328";"групповая";"19";"нет";"READY";""
"1293";"Препараты галеновые";"328";"групповая";"19";"нет";"READY";""
"1294";"Толуол";"309";"групповая";"2";"нет";"READY";""
"1295";"Трихлорсилан";"431";"групповая";"4";"нет";"READY";""
"1296";"Триэтиламин";"311";"групповая";"25";"нет";"READY";""
"1297";"ТРИМЕТИЛАМИНА ВОДНЫЙ РАСТВОР с массовой долей триметиламина не более 50%";"311";"групповая";"25";"нет";"READY";""
"1298";"Триметилхлорсилан *";"321";"групповая";"6";"нет";"READY";""
"1299";"Скипидар";"315";"групповая";"14";"нет";"READY";""
"1300";"СКИПИДАРА ЗАМЕНИТЕЛЬ";"305";"групповая";"36";"нет";"READY";""
"1301";"Винилацетат стабилизированный";"306";"групповая";"53";"нет";"READY";""
"1302";"Эфир винилэтиловый стабилизированный";"301";"групповая";"15";"нет";"READY";""
"1303";"Винилиденхлорид стабилизированный";"312";"групповая";"27";"нет";"READY";""
"1304";"Эфир винилизобутиловый стабилизированный";"306";"групповая";"53";"нет";"READY";""
"1305";"Винилтрихлорсилан";"321";"групповая";"6";"нет";"READY";""
"1306";"АНТИСЕПТИКИ ДЛЯ ДРЕВЕСИНЫ ЖИДКИЕ (давление паров при 50 °C более 110 кПа)";"328";"групповая";"19";"нет";"READY";""
"1306";"АНТИСЕПТИКИ ДЛЯ ДРЕВЕСИНЫ ЖИДКИЕ (давление паров при 50 °C не более 110 кПа)";"328";"групповая";"19";"нет";"READY";""
"1306";"АНТИСЕПТИКИ ДЛЯ ДРЕВЕСИНЫ ЖИДКИЕ (имеющие температуру вспышки ниже 23 °C и вязкие) (давление паров при 50 °C более 110 кПа, температура кипения более 35 °C)";"328";"групповая";"19";"нет";"READY";""
"1306";"АНТИСЕПТИКИ ДЛЯ ДРЕВЕСИНЫ ЖИДКИЕ (имеющие температуру вспышки ниже 23 °C и вязкие) (давление паров при 50 °C не более 110 кПа)";"328";"групповая";"19";"нет";"READY";""
"1306";"АНТИСЕПТИКИ ДЛЯ ДРЕВЕСИНЫ ЖИДКИЕ (имеющие температуру вспышки ниже 23 °C и вязкие) (температура кипения не более 35 °C)";"328";"групповая";"19";"нет";"READY";""
"1306";"АНТИСЕПТИКИ ДЛЯ ДРЕВЕСИНЫ ЖИДКИЕ (невязкие)";"328";"групповая";"19";"нет";"READY";""
"1307";"Ксилолы";"309";"групповая";"2";"нет";"READY";""
"1308";"ЦИРКОНИЙ, СУСПЕНДИРОВАННЫЙ В ЛЕГКОВОСПЛАМЕНЯЮЩЕЙСЯ ЖИДКОСТИ";"328";"групповая";"19";"нет";"READY";""
"1308";"ЦИРКОНИЙ, СУСПЕНДИРОВАННЫЙ В ЛЕГКОВОСПЛАМЕНЯЮЩЕЙСЯ ЖИДКОСТИ (давление паров при 50 °C более 110 кПа)";"328";"групповая";"19";"нет";"READY";""
"1308";"ЦИРКОНИЙ, СУСПЕНДИРОВАННЫЙ В ЛЕГКОВОСПЛАМЕНЯЮЩЕЙСЯ ЖИДКОСТИ (давление паров при 50 °C не более 110 кПа)";"328";"групповая";"19";"нет";"READY";""
"1309";"Алюминий - порошок покрытый";"403";"групповая";"10";"нет";"READY";""
"1310";"АММОНИЯ ПИКРАТ УВЛАЖНЕННЫЙ с массовой долей воды не менее 10%";"404";"групповая";"52";"нет";"READY";""
"1312";"Борнеол";"402";"групповая";"19";"нет";"READY";""
"1313";"Кальция резинат";"404";"групповая";"52";"нет";"READY";""
"1314";"Кальция резинат расплавленный";"404";"групповая";"52";"нет";"READY";""
"1318";"Кобальта резинат осажденный";"404";"групповая";"52";"нет";"READY";""
"1320";"ДИНИТРОФЕНОЛ УВЛАЖНЕННЫЙ с массовой долей воды не менее 15%";"404";"групповая";"52";"нет";"READY";""
"1321";"ДИНИТРОФЕНОЛЯТЫ УВЛАЖНЕННЫЕ с массовой долей воды не менее 15%";"404";"групповая";"52";"нет";"READY";""
"1322";"ДИНИТРОРЕЗОРЦИН УВЛАЖНЕННЫЙ с массовой долей воды не менее 15%";"404";"групповая";"52";"нет";"READY";""
"1323";"Ферроцерий";"403";"групповая";"10";"нет";"READY";""
"1324";"КИНО- И ФОТОПЛЕНКА НА НИТРОЦЕЛЛЮЛОЗНОЙ ОСНОВЕ, покрытая желатином, исключая отходы";"402";"групповая";"19";"нет";"READY";""
"1325";"ВЕЩЕСТВО ТВЕРДОЕ ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ ОРГАНИЧЕСКОЕ, Н.У.К.";"401";"групповая";"5";"нет";"READY";""
"1325";"Генераторы огнетушащего аэрозоля типа ПАГ";"401";"групповая";"5";"нет";"READY";""
"1325";"Камфен, технический";"401";"групповая";"5";"нет";"READY";""
"1325";"Линт хлопковый";"401";"групповая";"5";"нет";"READY";""
"1325";"Модификаторы легковоспламеняющиеся твердые";"401";"групповая";"5";"нет";"READY";""
"1325";"Пенька чесаная";"401";"групповая";"5";"нет";"READY";""
"1325";"Хлопок-сырец";"401";"групповая";"5";"нет";"READY";""
"1325";"Циклододекан";"401";"групповая";"5";"нет";"READY";""
"1326";"ГАФНИЙ - ПОРОШОК УВЛАЖНЕННЫЙ с долей воды не менее 25%";"403";"групповая";"10";"нет";"READY";""
"1328";"Гексаметилентетрамин";"402";"групповая";"19";"нет";"READY";""
"1330";"Марганца резинат";"404";"групповая";"52";"нет";"READY";""
"1331";"Термоспички";"402";"групповая";"19";"нет";"READY";""
"1332";"Метальдегид";"402";"групповая";"19";"нет";"READY";""
"1333";"ЦЕРИЙ - пластинки, слитки или бруски";"403";"групповая";"10";"нет";"READY";""
"1334";"НАФТАЛИН СЫРОЙ или НАФТАЛИН ОЧИЩЕННЫЙ";"402";"групповая";"19";"нет";"READY";""
"1336";"НИТРОГУАНИДИН (ПИКРИТ) УВЛАЖНЕННЫЙ с массовой долей воды не менее 20%";"404";"групповая";"52";"нет";"READY";""
"1337";"НИТРОКРАХМАЛ УВЛАЖНЕННЫЙ с массовой долей воды не менее 20%";"404";"групповая";"52";"нет";"READY";""
"1338";"ФОСФОР АМОРФНЫЙ";"404";"групповая";"52";"нет";"READY";""
"1339";"ФОСФОРА ГЕПТАСУЛЬФИД, не содержащий желтого или белого фосфора";"404";"групповая";"52";"нет";"READY";""
"1340";"ФОСФОРА ПЕНТАСУЛЬФИД, не содержащий желтого или белого фосфора";"409";"групповая";"44";"нет";"READY";""
"1341";"ФОСФОРА СЕСКВИСУЛЬФИД, не содержащий желтого или белого фосфора";"404";"групповая";"52";"нет";"READY";""
"1343";"ФОСФОРА ТРИСУЛЬФИД, не содержащий желтого или белого фосфора";"404";"групповая";"52";"нет";"READY";""
"1344";"ТРИНИТРОФЕНОЛ УВЛАЖНЕННЫЙ с массовой долей воды не менее 30%";"404";"групповая";"52";"нет";"READY";""
"1345";"КАУЧУКА ОТХОДЫ или КАУЧУК РЕГЕНЕРИРОВАННЫЙ, порошок или гранулы размером не более 840 микрон с более 45% каучука";"402";"групповая";"19";"нет";"READY";""
"1346";"КРЕМНИЙ - ПОРОШОК АМОРФНЫЙ";"403";"групповая";"10";"нет";"READY";""
"1347";"СЕРЕБРА ПИКРАТ УВЛАЖНЕННЫЙ с массовой долей воды не менее 30%";"404";"групповая";"52";"нет";"READY";""
"1348";"НАТРИЯ ДИНИТРО-о-КРЕЗОЛЯТ УВЛАЖНЕННЫЙ с массовой долей воды не менее 15%";"404";"групповая";"52";"нет";"READY";""
"1349";"НАТРИЯ ПИКРАМАТ УВЛАЖНЕННЫЙ с массовой долей воды не менее 20%";"404";"групповая";"52";"нет";"READY";""
"1350";"Сера";"404";"групповая";"52";"нет";"READY";""
"1352";"ТИТАН - ПОРОШОК УВЛАЖНЕННЫЙ с долей воды не менее 25%";"403";"групповая";"10";"нет";"READY";""
"1353";"ВОЛОКНА или ТКАНИ, ПРОПИТАННЫЕ НИТРОЦЕЛЛЮЛОЗОЙ С НИЗКИМ СОДЕРЖАНИЕМ НИТРАТОВ, Н.У.К.";"402";"групповая";"19";"нет";"READY";""
"1353";"Гранитоль обувной на нитроцеллюлозной основе";"402";"групповая";"19";"нет";"READY";""
"1354";"ТРИНИТРОБЕНЗОЛ УВЛАЖНЕННЫЙ с массовой долей воды не менее 30%";"404";"групповая";"52";"нет";"READY";""
"1355";"КИСЛОТА ТРИНИТРОБЕНЗОЙНАЯ УВЛАЖНЕННАЯ с массовой долей воды не менее 30%";"404";"групповая";"52";"нет";"READY";""
"1356";"ТРИНИТРОТОЛУОЛ (ТНТ) УВЛАЖНЕННЫЙ с массовой долей воды не менее 30%";"404";"групповая";"52";"нет";"READY";""
"1357";"КАРБАМИДА НИТРАТ УВЛАЖНЕННЫЙ с массовой долей воды не менее 20%";"404";"групповая";"52";"нет";"READY";""
"1358";"ЦИРКОНИЙ - ПОРОШОК УВЛАЖНЕННЫЙ с долей воды не менее 25%";"403";"групповая";"10";"нет";"READY";""
"1360";"Кальция фосфид";"408";"групповая";"17";"нет";"READY";""
"1361";"УГОЛЬ или САЖА животного или растительного происхождения";"405";"групповая";"36";"нет";"READY";""
"1362";"Сульфоуголь";"405";"групповая";"36";"нет";"READY";""
"1362";"Уголь активированный";"405";"групповая";"36";"нет";"READY";""
"1363";"Копра";"405";"групповая";"36";"нет";"READY";""
"1364";"Отходы волокнистые хлопкоочистительных заводов";"405";"групповая";"36";"нет";"READY";""
"1364";"Отходы текстильные, промасленные";"405";"групповая";"36";"нет";"READY";""
"1364";"ХЛОПКА ОТХОДЫ, ПРОПИТАННЫЕ МАСЛОМ";"405";"групповая";"36";"нет";"READY";""
"1365";"Хлопок влажный";"405";"групповая";"36";"нет";"READY";""
"1369";"п-Нитрозодиметиланилин";"405";"групповая";"36";"нет";"READY";""
"1373";"ВОЛОКНА или ТКАНИ ЖИВОТНОГО или РАСТИТЕЛЬНОГО или СИНТЕТИЧЕСКОГО ПРОИСХОЖДЕНИЯ, Н.У.К., пропитанные маслом";"415";"групповая";"14";"нет";"READY";""
"1374";"МУКА РЫБНАЯ (РЫБНЫЕ ОТХОДЫ) НЕСТАБИЛИЗИРОВАННАЯ";"405";"групповая";"36";"нет";"READY";""
"1376";"ЖЕЛЕЗА ОКСИД ОТРАБОТАННЫЙ или ЖЕЛЕЗО ГУБЧАТОЕ - ОТХОДЫ, полученные при очистке каменноугольного газа";"405";"групповая";"36";"нет";"READY";""
"1378";"КАТАЛИЗАТОР МЕТАЛЛИЧЕСКИЙ УВЛАЖНЕННЫЙ с видимым избытком жидкости";"405";"групповая";"36";"нет";"READY";""
"1379";"БУМАГА, ОБРАБОТАННАЯ НЕНАСЫЩЕННЫМИ МАСЛАМИ, не полностью высушенная (включая бумагу копировальную)";"405";"групповая";"36";"нет";"READY";""
"1380";"Пентаборан";"407";"групповая";"5";"нет";"READY";""
"1381";"ФОСФОР БЕЛЫЙ (ЖЕЛТЫЙ) ПОД СЛОЕМ ВОДЫ или В РАСТВОРЕ";"406";"групповая";"4";"нет";"READY";""
"1381";"ФОСФОР БЕЛЫЙ (ЖЕЛТЫЙ) СУХОЙ";"406";"групповая";"4";"нет";"READY";""
"1382";"КАЛИЯ СУЛЬФИД БЕЗВОДНЫЙ или КАЛИЯ СУЛЬФИД с долей кристаллизационной воды менее 30%";"409";"групповая";"44";"нет";"READY";""
"1383";"МЕТАЛЛ ПИРОФОРНЫЙ, Н.У.К., или СПЛАВ ПИРОФОРНЫЙ, Н.У.К.";"415";"групповая";"14";"нет";"READY";""
"1384";"НАТРИЯ ДИТИОНИТ (НАТРИЯ ГИДРОСУЛЬФИТ)";"405";"групповая";"36";"нет";"READY";""
"1385";"НАТРИЯ СУЛЬФИД БЕЗВОДНЫЙ или НАТРИЯ СУЛЬФИД с долей кристаллизационной воды менее 30%";"409";"групповая";"44";"нет";"READY";""
"1386";"ЖМЫХ с массовой долей масла более 1,5% и влаги не более 11%";"405";"групповая";"36";"нет";"READY";""
"1389";"АМАЛЬГАМА ЩЕЛОЧНЫХ МЕТАЛЛОВ, ЖИДКАЯ";"421";"групповая";"12";"нет";"READY";""
"1390";"АМИДЫ ЩЕЛОЧНЫХ МЕТАЛЛОВ";"421";"групповая";"12";"нет";"READY";""
"1390";"Калия амид";"421";"групповая";"12";"нет";"READY";""
"1390";"Лития амид";"421";"групповая";"12";"нет";"READY";""
"1390";"Натрия амид";"421";"групповая";"12";"нет";"READY";""
"1391";"МЕТАЛЛ ЩЕЛОЧНОЙ ДИСПЕРГИРОВАННЫЙ или МЕТАЛЛ ЩЕЛОЧНОЗЕМЕЛЬНЫЙ ДИСПЕРГИРОВАННЫЙ";"409";"групповая";"44";"нет";"READY";""
"1392";"АМАЛЬГАМА ЩЕЛОЧНОЗЕМЕЛЬНЫХ МЕТАЛЛОВ, ЖИДКАЯ";"421";"групповая";"12";"нет";"READY";""
"1393";"Кальция сплавы";"421";"групповая";"12";"нет";"READY";""
"1393";"ЩЕЛОЧНОЗЕМЕЛЬНЫХ МЕТАЛЛОВ СПЛАВ, Н.У.К.";"421";"групповая";"12";"нет";"READY";""
"1394";"Алюминия карбид";"408";"групповая";"17";"нет";"READY";""
"1395";"Алюминий-ферросилиций - порошок";"408";"групповая";"17";"нет";"READY";""
"1396";"Алюминий - порошок непокрытый";"409";"групповая";"44";"нет";"READY";""
"1397";"Алюминия фосфид";"408";"групповая";"17";"нет";"READY";""
"1398";"АЛЮМИНИЯ СИЛИЦИД - ПОРОШОК НЕПОКРЫТЫЙ";"409";"групповая";"44";"нет";"READY";""
"1400";"Барий";"409";"групповая";"44";"нет";"READY";""
"1401";"Кальций";"409";"групповая";"44";"нет";"READY";""
"1402";"Кальция карбид";"408";"групповая";"17";"нет";"READY";""
"1403";"КАЛЬЦИЯ ЦИАНАМИД с массовой долей карбида кальция более 0,1%";"408";"групповая";"17";"нет";"READY";""
"1404";"Кальция гидрид";"408";"групповая";"17";"нет";"READY";""
"1405";"Кальция силицид";"408";"групповая";"17";"нет";"READY";""
"1407";"Цезий";"409";"групповая";"44";"нет";"READY";""
"1408";"ФЕРРОСИЛИЦИЙ с массовой долей кремния не менее 30%, но менее 90%";"408";"групповая";"17";"нет";"READY";""
"1409";"ГИДРИДЫ МЕТАЛЛОВ, РЕАГИРУЮЩИЕ С ВОДОЙ, Н.У.К.";"421";"групповая";"12";"нет";"READY";""
"1409";"Калия гидрид";"421";"групповая";"12";"нет";"READY";""
"1410";"Лития алюмогидрид";"409";"групповая";"44";"нет";"READY";""
"1411";"Лития алюмогидрид в эфире";"407";"групповая";"5";"нет";"READY";""
"1413";"Лития боргидрид";"409";"групповая";"44";"нет";"READY";""
"1414";"Лития гидрид";"409";"групповая";"44";"нет";"READY";""
"1415";"Литий";"409";"групповая";"44";"нет";"READY";""
"1417";"Лития силицид";"409";"групповая";"44";"нет";"READY";""
"1418";"МАГНИЙ - ПОРОШОК или МАГНИЯ СПЛАВЫ - ПОРОШОК";"409";"групповая";"44";"нет";"READY";""
"1419";"Магния-алюминия фосфид";"408";"групповая";"17";"нет";"READY";""
"1420";"КАЛИЯ МЕТАЛЛИЧЕСКИЕ СПЛАВЫ, ЖИДКИЕ";"409";"групповая";"44";"нет";"READY";""
"1421";"ЩЕЛОЧНЫХ МЕТАЛЛОВ СПЛАВ ЖИДКИЙ, Н.У.К.";"421";"групповая";"12";"нет";"READY";""
"1422";"КАЛИЯ - НАТРИЯ СПЛАВЫ, ЖИДКИЕ";"409";"групповая";"44";"нет";"READY";""
"1423";"Рубидий";"409";"групповая";"44";"нет";"READY";""
"1426";"Натрия боргидрид";"409";"групповая";"44";"нет";"READY";""
"1427";"Натрия гидрид";"409";"групповая";"44";"нет";"READY";""
"1428";"Натрий";"409";"групповая";"44";"нет";"READY";""
"1431";"Натрия метилат";"406";"групповая";"4";"нет";"READY";""
"1432";"Натрия фосфид";"408";"групповая";"17";"нет";"READY";""
"1433";"Олова фосфид";"408";"групповая";"17";"нет";"READY";""
"1435";"Шлак ЦИНКОВЫЙ";"409";"групповая";"44";"нет";"READY";""
"1436";"ЦИНК - ПОРОШОК или ЦИНК - ПЫЛЬ";"409";"групповая";"44";"нет";"READY";""
"1437";"Циркония гидрид";"409";"групповая";"44";"нет";"READY";""
"1438";"Алюминия нитрат";"501";"групповая";"76";"нет";"READY";""
"1439";"Аммония дихромат";"501";"групповая";"76";"нет";"READY";""
"1442";"Аммония перхлорат";"501";"групповая";"76";"нет";"READY";""
"1444";"Аммония персульфат";"501";"групповая";"76";"нет";"READY";""
"1445";"БАРИЯ ХЛОРАТ, ТВЕРДЫЙ";"503";"групповая";"13";"нет";"READY";""
"1446";"Бария нитрат";"503";"групповая";"13";"нет";"READY";""
"1447";"БАРИЯ ПЕРХЛОРАТ, ТВЕРДЫЙ";"503";"групповая";"13";"нет";"READY";""
"1448";"Бария перманганат";"503";"групповая";"13";"нет";"READY";""
"1449";"Бария пероксид";"503";"групповая";"13";"нет";"READY";""
"1450";"БРОМАТЫ НЕОРГАНИЧЕСКИЕ, Н.У.К.";"501";"групповая";"76";"нет";"READY";""
"1451";"Цезия нитрат";"501";"групповая";"76";"нет";"READY";""
"1452";"Кальция хлорат";"501";"групповая";"76";"нет";"READY";""
"1453";"Кальция хлорит";"501";"групповая";"76";"нет";"READY";""
"1454";"Кальция нитрат";"501";"групповая";"76";"нет";"READY";""
"1455";"Кальция перхлорат";"501";"групповая";"76";"нет";"READY";""
"1456";"Кальция перманганат";"501";"групповая";"76";"нет";"READY";""
"1457";"Кальция пероксид";"509";"групповая";"11";"нет";"READY";""
"1458";"ХЛОРАТА И БОРАТА СМЕСЬ";"501";"групповая";"76";"нет";"READY";""
"1459";"ХЛОРАТА И МАГНИЯ ХЛОРИДА СМЕСЬ, ТВЕРДАЯ";"501";"групповая";"76";"нет";"READY";""
"1461";"Хлораты неорганические, н.у.к.";"501";"групповая";"76";"нет";"READY";""
"1462";"Хлориты неорганические, н.у.к.";"501";"групповая";"76";"нет";"READY";""
"1463";"Хрома триоксид безводный";"502";"индивидуальная";"1";"нет";"READY";""
"1465";"Дидима нитрат";"501";"групповая";"76";"нет";"READY";""
"1466";"Железа нитрат";"501";"групповая";"76";"нет";"READY";""
"1467";"Гуанидина нитрат";"501";"групповая";"76";"нет";"READY";""
"1469";"Свинца нитрат";"503";"групповая";"13";"нет";"READY";""
"1470";"СВИНЦА ПЕРХЛОРАТ, ТВЕРДЫЙ";"503";"групповая";"13";"нет";"READY";""
"1471";"ЛИТИЯ ГИПОХЛОРИТ СУХОЙ или ЛИТИЯ ГИПОХЛОРИТА СМЕСЬ";"501";"групповая";"76";"нет";"READY";""
"1472";"Лития пероксид";"509";"групповая";"11";"нет";"READY";""
"1473";"Магния бромат";"501";"групповая";"76";"нет";"READY";""
"1474";"Магния нитрат";"501";"групповая";"76";"нет";"READY";""
"1475";"Магния перхлорат";"501";"групповая";"76";"нет";"READY";""
"1476";"Магния пероксид";"509";"групповая";"11";"нет";"READY";""
"1477";"Висмута (III) нитрат";"501";"групповая";"76";"нет";"READY";""
"1477";"Нитраты неорганические, н.у.к.";"501";"групповая";"76";"нет";"READY";""
"1479";"Аммония хромат";"501";"групповая";"76";"нет";"READY";""
"1479";"ВЕЩЕСТВО ТВЕРДОЕ ОКИСЛЯЮЩЕЕ, Н.У.К.";"501";"групповая";"76";"нет";"READY";""
"1479";"Гексахлормеламин, флегматизированный";"501";"групповая";"76";"нет";"READY";""
"1479";"Дихлорамины";"501";"групповая";"76";"нет";"READY";""
"1479";"Марганца (IV) оксид";"501";"групповая";"76";"нет";"READY";""
"1481";"Перхлораты неорганические, н.у.к.";"501";"групповая";"76";"нет";"READY";""
"1482";"Перманганаты неорганические, н.у.к.";"501";"групповая";"76";"нет";"READY";""
"1483";"Пероксиды неорганические, н.у.к.";"509";"групповая";"11";"нет";"READY";""
"1484";"Калия бромат";"501";"групповая";"76";"нет";"READY";""
"1485";"КАЛИЯ ХЛОРАТ";"501";"групповая";"76";"нет";"READY";""
"1486";"Калия нитрат";"501";"групповая";"76";"нет";"READY";""
"1487";"КАЛИЯ НИТРАТА И НАТРИЯ НИТРИТА СМЕСЬ";"501";"групповая";"76";"нет";"READY";""
"1488";"Калия нитрит";"501";"групповая";"76";"нет";"READY";""
"1489";"Калия перхлорат";"501";"групповая";"76";"нет";"READY";""
"1490";"Калия перманганат";"501";"групповая";"76";"нет";"READY";""
"1491";"Калия пероксид";"509";"групповая";"11";"нет";"READY";""
"1492";"Калия персульфат";"501";"групповая";"76";"нет";"READY";""
"1493";"Серебра нитрат";"501";"групповая";"76";"нет";"READY";""
"1494";"Натрия бромат";"501";"групповая";"76";"нет";"READY";""
"1495";"Натрия хлорат";"501";"групповая";"76";"нет";"READY";""
"1496";"Натрия хлорит";"501";"групповая";"76";"нет";"READY";""
"1498";"Натрия нитрат";"501";"групповая";"76";"нет";"READY";""
"1499";"НАТРИЯ НИТРАТА И КАЛИЯ НИТРАТА СМЕСЬ";"501";"групповая";"76";"нет";"READY";""
"1500";"Натрия нитрит";"503";"групповая";"13";"нет";"READY";""
"1502";"Натрия перхлорат";"501";"групповая";"76";"нет";"READY";""
"1503";"Натрия перманганат";"501";"групповая";"76";"нет";"READY";""
"1504";"Натрия пероксид";"509";"групповая";"11";"нет";"READY";""
"1505";"Натрия персульфат";"501";"групповая";"76";"нет";"READY";""
"1506";"Стронция хлорат";"501";"групповая";"76";"нет";"READY";""
"1507";"Стронция нитрат";"501";"групповая";"76";"нет";"READY";""
"1508";"Стронция перхлорат";"501";"групповая";"76";"нет";"READY";""
"1509";"Стронция пероксид";"509";"групповая";"11";"нет";"READY";""
"1510";"Тетранитрометан";"658";"индивидуальная";"1";"нет";"READY";""
"1511";"Карбамида и водорода пероксида комплекс";"507";"индивидуальная";"1";"нет";"READY";""
"1512";"Цинка-аммония нитрит";"501";"групповая";"76";"нет";"READY";""
"1513";"Цинка хлорат";"501";"групповая";"76";"нет";"READY";""
"1514";"Цинка нитрат";"501";"групповая";"76";"нет";"READY";""
"1515";"Цинка перманганат";"501";"групповая";"76";"нет";"READY";""
"1516";"Цинка пероксид";"509";"групповая";"11";"нет";"READY";""
"1517";"ЦИРКОНИЯ ПИКРАМАТ УВЛАЖНЕННЫЙ с массовой долей воды не менее 20%";"404";"групповая";"52";"нет";"READY";""
"1541";"Ацетонциангидрин стабилизированный";"602";"групповая";"5";"нет";"READY";""
"1544";"АЛКАЛОИДЫ ТВЕРДЫЕ, Н.У.К., или АЛКАЛОИДОВ СОЛИ ТВЕРДЫЕ, Н.У.К.";"620";"групповая";"18";"нет";"READY";""
"1544";"Анабазина сульфат, твердый";"620";"групповая";"18";"нет";"READY";""
"1544";"Цинхонин";"620";"групповая";"18";"нет";"READY";""
"1545";"АЛЛИЛИЗОТИОЦИАНАТ СТАБИЛИЗИРОВАННЫЙ *";"609";"групповая";"25";"нет";"READY";""
"1546";"Аммония арсенат";"603";"групповая";"61";"нет";"READY";""
"1547";"Анилин *";"608";"групповая";"78";"нет";"READY";""
"1548";"Анилина гидрохлорид ***";"616";"групповая";"38";"нет";"READY";""
"1549";"СУРЬМЫ СОЕДИНЕНИЕ НЕОРГАНИЧЕСКОЕ ТВЕРДОЕ, Н.У.К.";"630";"групповая";"36";"нет";"READY";""
"1550";"Сурьмы лактат";"620";"групповая";"18";"нет";"READY";""
"1551";"Сурьмы - калия тартрат";"620";"групповая";"18";"нет";"READY";""
"1553";"Кислота мышьяковая жидкая";"622";"групповая";"10";"нет";"READY";""
"1554";"Кислота мышьяковая твердая";"603";"групповая";"61";"нет";"READY";""
"1555";"Мышьяка бромид *";"603";"групповая";"61";"нет";"READY";""
"1556";"МЫШЬЯКА СОЕДИНЕНИЕ ЖИДКОЕ, Н.У.К., неорганическое, включая: Арсенаты, н.у.к., Арсениты, н.у.к., и Мышьяка сульфиды, н.у.к..";"630";"групповая";"36";"нет";"READY";""
"1556";"Мышьяково-содовый раствор";"630";"групповая";"36";"нет";"READY";""
"1557";"Кальция арсенит";"630";"групповая";"36";"нет";"READY";""
