"UN";"Название";"№ АК";"Тип АК";"Размер группы";"Индивидуальный профиль";"Статус";"Замечания"
"1133";"КЛЕИ, содержащие легковоспламеняющуюся жидкость (имеющие температуру вспышки ниже 23 °C и вязкие) (температура кипения не более 35 °C)";"305";"групповая";"36";"нет";"READY";""
"1133";"КЛЕИ, содержащие легковоспламеняющуюся жидкость (невязкие)";"305";"групповая";"36";"нет";"READY";""
"1134";"Хлорбензол";"318";"групповая";"4";"нет";"READY";""
"1135";"Этиленхлоргидрин";"647";"групповая";"14";"нет";"READY";""
"1136";"Дистилляты каменноугольной смолы легковоспламеняющиеся";"305";"групповая";"36";"нет";"READY";""
"1136";"Масло каменноугольное, легкое, ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ";"305";"групповая";"36";"нет";"READY";""
"1139";"РАСТВОР ДЛЯ НАНЕСЕНИЯ ПОКРЫТИЯ (включая растворы для обработки или покрытия поверхностей, используемые в промышленных или иных целях, например для нанесения грунтовочного покрытия на корпус автомобилей, футеровки барабанов или бочек)";"328";"групповая";"19";"нет";"READY";""
"1139";"РАСТВОР ДЛЯ НАНЕСЕНИЯ ПОКРЫТИЯ (включая растворы для обработки или покрытия поверхностей, используемые в промышленных или иных целях, например для нанесения грунтовочного покрытия на корпус автомобилей, футеровки барабанов или бочек) (давление паров при 50 °C более 110 кПа)";"328";"групповая";"19";"нет";"READY";""
"1139";"РАСТВОР ДЛЯ НАНЕСЕНИЯ ПОКРЫТИЯ (включая растворы для обработки или покрытия поверхностей, используемые в промышленных или иных целях, например для нанесения грунтовочного покрытия на корпус автомобилей, футеровки барабанов или бочек) (давление паров при 50 °C не более 110 кПа)";"328";"групповая";"19";"нет";"READY";""
"1139";"РАСТВОР ДЛЯ НАНЕСЕНИЯ ПОКРЫТИЯ (включая растворы для обработки или покрытия поверхностей, используемые в промышленных или иных целях, например для нанесения грунтовочного покрытия на корпус автомобилей, футеровки барабанов или бочек) (имеющий температуру вспышки ниже 23 °C и вязкий) (давление паров при 50 °C более 110 кПа, температура кипения более 35 °C)";"328";"групповая";"19";"нет";"READY";""
"1139";"РАСТВОР ДЛЯ НАНЕСЕНИЯ ПОКРЫТИЯ (включая растворы для обработки или покрытия поверхностей, используемые в промышленных или иных целях, например для нанесения грунтовочного покрытия на корпус автомобилей, футеровки барабанов или бочек) (имеющий температуру вспышки ниже 23 °C и вязкий) (температура кипения не более 35 °C)";"328";"групповая";"19";"нет";"READY";""
"1139";"РАСТВОР ДЛЯ НАНЕСЕНИЯ ПОКРЫТИЯ (включая растворы для обработки или покрытия поверхностей, используемые в промышленных или иных целях, например для нанесения грунтовочного покрытия на корпус автомобилей, футеровки барабанов или бочек) (невязкий)";"328";"групповая";"19";"нет";"READY";""
"1139";"РАСТВОР ДЛЯ НАНЕСЕНИЯ ПОКРЫТИЯ (включая растворы для обработки или покрытия поверхностей, используемые в промышленных или иных целях, например для нанесения грунтовочного покрытия на корпус автомобилей, футировки барабанов или бочек) (имеющий температуру вспышки ниже 23 °C и вязкий) (давление паров при 50 °C не более 110 кПа)";"328";"групповая";"19";"нет";"READY";""
"1143";"КРОТОНАЛЬДЕГИД или КРОТОНАЛЬДЕГИД СТАБИЛИЗИРОВАННЫЙ";"650";"групповая";"5";"нет";"READY";""
"1144";"Кротонилен";"301";"групповая";"15";"нет";"READY";""
"1145";"Циклогексан";"305";"групповая";"36";"нет";"READY";""
"1146";"Циклопентан";"305";"групповая";"36";"нет";"READY";""
"1147";"Декагидронафталин";"317";"групповая";"12";"нет";"READY";""
"1148";"Спирт диацетоновый";"316";"групповая";"55";"нет";"READY";""
"1149";"Эфиры дибутиловые";"316";"групповая";"55";"нет";"READY";""
"1150";"1,2-Дихлорэтилен";"312";"групповая";"27";"нет";"READY";""
"1152";"Дихлорпентаны";"324";"групповая";"3";"нет";"READY";""
"1153";"ЭФИР ДИЭТИЛОВЫЙ ЭТИЛЕНГЛИКОЛЯ (р)";"316";"групповая";"55";"нет";"READY";""
"1154";"Диэтиламин";"303";"групповая";"4";"нет";"READY";""
"1155";"ЭФИР ДИЭТИЛОВЫЙ (ЭФИР ЭТИЛОВЫЙ) (р)";"301";"групповая";"15";"нет";"READY";""
"1156";"ДИЭТИЛКЕТОН (н)";"307";"групповая";"20";"нет";"READY";""
"1157";"Диизобутилкетон";"316";"групповая";"55";"нет";"READY";""
"1158";"Диизопропиламин";"311";"групповая";"25";"нет";"READY";""
"1159";"Эфир диизопропиловый";"306";"групповая";"53";"нет";"READY";""
"1160";"Диметиламина водный раствор";"311";"групповая";"25";"нет";"READY";""
"1161";"Диметилкарбонат";"306";"групповая";"53";"нет";"READY";""
"1162";"Диметилдихлорсилан *";"321";"групповая";"6";"нет";"READY";""
"1163";"Диметилгидразин несимметричный";"648";"групповая";"5";"нет";"READY";""
"1164";"ДИМЕТИЛСУЛЬФИД *";"304";"групповая";"15";"нет";"READY";""
"1165";"ДИОКСАН (р)";"306";"групповая";"53";"нет";"READY";""
"1166";"Диоксолан";"320";"групповая";"5";"нет";"READY";""
"1167";"Эфир дивиниловый стабилизированный";"301";"групповая";"15";"нет";"READY";""
"1170";"Многофункциональная добавка на основе этанола";"308";"групповая";"5";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: actions | В официальной АК отсутствует раздел: consequenceControl | В официальной АК отсутствует раздел: firstAid"
"1170";"Растворитель спиртосодержащий ""Лакол""";"308";"групповая";"5";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: actions | В официальной АК отсутствует раздел: consequenceControl | В официальной АК отсутствует раздел: firstAid"
"1170";"Спирт этиловый винный (ректификат)";"308";"групповая";"5";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: actions | В официальной АК отсутствует раздел: consequenceControl | В официальной АК отсутствует раздел: firstAid"
"1170";"Спирт этиловый, технический";"308";"групповая";"5";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: actions | В официальной АК отсутствует раздел: consequenceControl | В официальной АК отсутствует раздел: firstAid"
"1170";"ЭТАНОЛ (СПИРТ ЭТИЛОВЫЙ) или ЭТАНОЛА РАСТВОР (СПИРТА ЭТИЛОВОГО РАСТВОР)";"308";"групповая";"5";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: actions | В официальной АК отсутствует раздел: consequenceControl | В официальной АК отсутствует раздел: firstAid"
"1171";"ЭФИР МОНОЭТИЛОВЫЙ ЭТИЛЕНГЛИКОЛЯ (р)";"316";"групповая";"55";"нет";"READY";""
"1172";"Эфир моноэтиловый этиленгликоля и кислоты уксусной";"316";"групповая";"55";"нет";"READY";""
"1173";"Этилацетат";"306";"групповая";"53";"нет";"READY";""
"1175";"Этилбензол";"314";"групповая";"3";"нет";"READY";""
"1176";"ЭТИЛБОРАТ (р)";"306";"групповая";"53";"нет";"READY";""
"1177";"2-Этилбутилацетат";"316";"групповая";"55";"нет";"READY";""
"1178";"2-ЭТИЛБУТИРАЛЬДЕГИД (н)";"307";"групповая";"20";"нет";"READY";""
"1179";"Эфир этилбутиловый";"306";"групповая";"53";"нет";"READY";""
"1180";"Этилбутират";"316";"групповая";"55";"нет";"READY";""
"1181";"Этилхлорацетат";"647";"групповая";"14";"нет";"READY";""
"1182";"Этилхлорформиат *";"611";"групповая";"19";"нет";"READY";""
"1183";"Этилдихлорсилан";"431";"групповая";"4";"нет";"READY";""
"1184";"Этилендихлорид";"312";"групповая";"27";"нет";"READY";""
"1185";"Этиленимин стабилизированный";"648";"групповая";"5";"нет";"READY";""
"1188";"ЭФИР МОНОМЕТИЛОВЫЙ ЭТИЛЕНГЛИКОЛЯ (р)";"316";"групповая";"55";"нет";"READY";""
"1189";"Эфир монометиловый этиленгликоля и кислоты уксусной";"316";"групповая";"55";"нет";"READY";""
"1190";"ЭТИЛФОРМИАТ (р)";"306";"групповая";"53";"нет";"READY";""
"1191";"Альдегиды октиловые";"316";"групповая";"55";"нет";"READY";""
"1192";"ЭТИЛЛАКТАТ (р)";"316";"групповая";"55";"нет";"READY";""
"1193";"ЭТИЛМЕТИЛКЕТОН (МЕТИЛЭТИЛКЕТОН)";"307";"групповая";"20";"нет";"READY";""
"1194";"Этилнитрита раствор";"310";"групповая";"14";"нет";"READY";""
"1195";"Этилпропионат";"306";"групповая";"53";"нет";"READY";""
"1196";"Этилтрихлорсилан";"321";"групповая";"6";"нет";"READY";""
"1197";"Композиции ароматические пищевые";"328";"групповая";"19";"нет";"READY";""
"1197";"ЭКСТРАКТЫ ЖИДКИЕ для придания вкуса или аромата";"328";"групповая";"19";"нет";"READY";""
"1197";"ЭКСТРАКТЫ ЖИДКИЕ для придания вкуса или аромата (давление паров при 50 °C более 110 кПа)";"328";"групповая";"19";"нет";"READY";""
"1197";"ЭКСТРАКТЫ ЖИДКИЕ для придания вкуса или аромата (давление паров при 50 °C не более 110 кПа)";"328";"групповая";"19";"нет";"READY";""
