"UN";"Название";"Классификационный код"
"0348";"ПАТРОНЫ ДЛЯ ОРУЖИЯ с разрывным зарядом";"1.4F"
"0349";"ИЗДЕЛИЯ ВЗРЫВЧАТЫЕ, Н.У.К.";"1.4S"
"0350";"ИЗДЕЛИЯ ВЗРЫВЧАТЫЕ, Н.У.К.";"1.4B"
"0351";"ИЗДЕЛИЯ ВЗРЫВЧАТЫЕ, Н.У.К.";"1.4C"
"0352";"ИЗДЕЛИЯ ВЗРЫВЧАТЫЕ, Н.У.К.";"1.4D"
"0353";"ИЗДЕЛИЯ ВЗРЫВЧАТЫЕ, Н.У.К.";"1.4G"
"0354";"ИЗДЕЛИЯ ВЗРЫВЧАТЫЕ, Н.У.К.";"1.1L"
"0355";"ИЗДЕЛИЯ ВЗРЫВЧАТЫЕ, Н.У.К.";"1.2L"
"0356";"ИЗДЕЛИЯ ВЗРЫВЧАТЫЕ, Н.У.К.";"1.3L"
"0357";"ВЕЩЕСТВА ВЗРЫВЧАТЫЕ, Н.У.К.";"1.1L"
"0358";"ВЕЩЕСТВА ВЗРЫВЧАТЫЕ, Н.У.К.";"1.2L"
"0359";"ВЕЩЕСТВА ВЗРЫВЧАТЫЕ, Н.У.К.";"1.3L"
"0360";"СБОРКИ ДЕТОНАТОРОВ НЕЭЛЕКТРИЧЕСКИЕ для взрывных работ";"1.1B"
"0361";"СБОРКИ ДЕТОНАТОРОВ НЕЭЛЕКТРИЧЕСКИЕ для взрывных работ";"1.4B"
"0362";"БОЕПРИПАСЫ ПРАКТИЧЕСКИЕ";"1.4G"
"0363";"БОЕПРИПАСЫ ИСПЫТАТЕЛЬНЫЕ";"1.4G"
"0364";"ДЕТОНАТОРЫ ДЛЯ БОЕПРИПАСОВ";"1.2B"
"0365";"ДЕТОНАТОРЫ ДЛЯ БОЕПРИПАСОВ";"1.4B"
"0366";"ДЕТОНАТОРЫ ДЛЯ БОЕПРИПАСОВ";"1.4S"
"0367";"ТРУБКИ ДЕТОНАЦИОННЫЕ";"1.4S"
"0368";"ТРУБКИ ЗАЖИГАТЕЛЬНЫЕ";"1.4S"
"0369";"БОЕГОЛОВКИ РАКЕТ с разрывным зарядом";"1.1F"
"0370";"БОЕГОЛОВКИ РАКЕТ с разрывным или вышибным зарядом";"1.4D"
"0371";"БОЕГОЛОВКИ РАКЕТ с разрывным или вышибным зарядом";"1.4F"
"0372";"ГРАНАТЫ ПРАКТИЧЕСКИЕ ручные или ружейные";"1.2G"
"0373";"УСТРОЙСТВА СИГНАЛЬНЫЕ РУЧНЫЕ";"1.4S"
"0374";"СИГНАЛЫ ЗВУКОВЫЕ ВЗРЫВЧАТЫЕ";"1.1D"
"0375";"СИГНАЛЫ ЗВУКОВЫЕ ВЗРЫВЧАТЫЕ";"1.2D"
"0376";"ВТУЛКИ КАПСЮЛЬНЫЕ";"1.4S"
"0378";"КАПСЮЛИ-ВОСПЛАМЕНИТЕЛИ";"1.4B"
"0379";"ГИЛЬЗЫ ПАТРОННЫЕ ПУСТЫЕ С КАПСЮЛЯМИ";"1.4C"
"0380";"ИЗДЕЛИЯ ПИРОФОРНЫЕ";"1.2L"
"0382";"ЭЛЕМЕНТЫ ЦЕПИ ВЗРЫВАНИЯ, Н.У.К.";"1.2B"
"0383";"ЭЛЕМЕНТЫ ЦЕПИ ВЗРЫВАНИЯ, Н.У.К.";"1.4B"
"0384";"ЭЛЕМЕНТЫ ЦЕПИ ВЗРЫВАНИЯ, Н.У.К.";"1.4S"
"0385";"5-НИТРОБЕНЗОТРИАЗОЛ";"1.1D"
"0386";"КИСЛОТА ТРИНИТРОБЕНЗОЛСУЛЬФОНОВАЯ";"1.1D"
"0387";"ТРИНИТРОФТОРЕНОН";"1.1D"
"0388";"ТРИНИТРОТОЛУОЛА (ТНТ) И ТРИНИТРОБЕНЗОЛА СМЕСЬ";"1.1D"
